Node Number	X Location (m)	Y Location (m)	Z Location (m)	Temperature (°„C)
18211	4.5875e-002	-6.4615e-003	-1.1705	68.79
18212	4.5875e-002	-7.3846e-003	-1.1705	68.79
18213	4.5875e-002	-8.3077e-003	-1.1705	68.79
18214	4.5875e-002	-9.2308e-003	-1.1705	68.79
18215	4.5875e-002	-1.0154e-002	-1.1705	68.79
18216	4.5875e-002	-1.1077e-002	-1.1705	68.79
18217	4.129e-002	-9.2308e-004	-1.1684	74.235
18218	4.129e-002	-1.8462e-003	-1.1684	74.235
18219	4.129e-002	-2.7692e-003	-1.1684	74.235
18220	4.129e-002	-3.6923e-003	-1.1684	74.235
18221	4.129e-002	-4.6154e-003	-1.1684	74.235
18222	4.129e-002	-5.5385e-003	-1.1684	74.235
18223	4.129e-002	-6.4615e-003	-1.1684	74.235
18224	4.129e-002	-7.3846e-003	-1.1684	74.235
18225	4.129e-002	-8.3077e-003	-1.1684	74.235
18226	4.129e-002	-9.2308e-003	-1.1684	74.235
18227	4.129e-002	-1.0154e-002	-1.1684	74.235
18228	4.129e-002	-1.1077e-002	-1.1684	74.235
18229	4.2026e-002	-9.2308e-004	-1.1686	73.949
18230	4.2026e-002	-1.8462e-003	-1.1686	73.949
18231	4.2026e-002	-2.7692e-003	-1.1686	73.949
18232	4.2026e-002	-3.6923e-003	-1.1686	73.949
18233	4.2026e-002	-4.6154e-003	-1.1686	73.949
18234	4.2026e-002	-5.5385e-003	-1.1686	73.949
18235	4.2026e-002	-6.4615e-003	-1.1686	73.949
18236	4.2026e-002	-7.3846e-003	-1.1686	73.949
18237	4.2026e-002	-8.3077e-003	-1.1686	73.949
18238	4.2026e-002	-9.2308e-003	-1.1686	73.949
18239	4.2026e-002	-1.0154e-002	-1.1686	73.949
18240	4.2026e-002	-1.1077e-002	-1.1686	73.949
18241	4.303e-002	-9.2308e-004	-1.1689	73.268
18242	4.303e-002	-1.8462e-003	-1.1689	73.268
18243	4.303e-002	-2.7692e-003	-1.1689	73.268
18244	4.303e-002	-3.6923e-003	-1.1689	73.268
18245	4.303e-002	-4.6154e-003	-1.1689	73.268
18246	4.303e-002	-5.5385e-003	-1.1689	73.268
18247	4.303e-002	-6.4615e-003	-1.1689	73.268
18248	4.303e-002	-7.3846e-003	-1.1689	73.268
18249	4.303e-002	-8.3077e-003	-1.1689	73.268
18250	4.303e-002	-9.2308e-003	-1.1689	73.268
18251	4.303e-002	-1.0154e-002	-1.1689	73.268
18252	4.303e-002	-1.1077e-002	-1.1689	73.268
18253	4.523e-002	-9.2308e-004	-1.1689	74.703
18254	4.523e-002	-1.8462e-003	-1.1689	74.703
18255	4.523e-002	-2.7692e-003	-1.1689	74.703
18256	4.523e-002	-3.6923e-003	-1.1689	74.703
18257	4.523e-002	-4.6154e-003	-1.1689	74.703
18258	4.523e-002	-5.5385e-003	-1.1689	74.703
18259	4.523e-002	-6.4615e-003	-1.1689	74.703
18260	4.523e-002	-7.3846e-003	-1.1689	74.703
18261	4.523e-002	-8.3077e-003	-1.1689	74.703
18262	4.523e-002	-9.2308e-003	-1.1689	74.703
18263	4.523e-002	-1.0154e-002	-1.1689	74.703
18264	4.523e-002	-1.1077e-002	-1.1689	74.703
18265	4.5649e-002	-9.2308e-004	-1.1698	71.538
18266	4.5649e-002	-1.8462e-003	-1.1698	71.538
18267	4.5649e-002	-2.7692e-003	-1.1698	71.538
18268	4.5649e-002	-3.6923e-003	-1.1698	71.538
18269	4.5649e-002	-4.6154e-003	-1.1698	71.538
18270	4.5649e-002	-5.5385e-003	-1.1698	71.538
18271	4.5649e-002	-6.4615e-003	-1.1698	71.538
18272	4.5649e-002	-7.3846e-003	-1.1698	71.538
18273	4.5649e-002	-8.3077e-003	-1.1698	71.538
