Node Number	X Location (m)	Y Location (m)	Z Location (m)	Temperature (°„C)
30398	4.8052e-002	-5.0769e-003	-1.19	42.431
30399	4.8534e-002	-4.6154e-003	-1.19	42.527
30400	4.8038e-002	-4.6154e-003	-1.1905	42.334
30401	4.8052e-002	-6.e-003	-1.19	42.431
30402	4.8534e-002	-5.5385e-003	-1.19	42.527
30403	4.8038e-002	-5.5385e-003	-1.1905	42.334
30404	4.8052e-002	-6.9231e-003	-1.19	42.431
30405	4.8534e-002	-6.4615e-003	-1.19	42.527
30406	4.8038e-002	-6.4615e-003	-1.1905	42.334
30407	4.8052e-002	-7.8462e-003	-1.19	42.431
30408	4.8534e-002	-7.3846e-003	-1.19	42.527
30409	4.8038e-002	-7.3846e-003	-1.1905	42.334
30410	4.8052e-002	-8.7692e-003	-1.19	42.431
30411	4.8534e-002	-8.3077e-003	-1.19	42.527
30412	4.8038e-002	-8.3077e-003	-1.1905	42.334
30413	4.8052e-002	-9.6923e-003	-1.19	42.431
30414	4.8534e-002	-9.2308e-003	-1.19	42.527
30415	4.8038e-002	-9.2308e-003	-1.1905	42.334
30416	4.8052e-002	-1.0615e-002	-1.19	42.431
30417	4.8534e-002	-1.0154e-002	-1.19	42.527
30418	4.8038e-002	-1.0154e-002	-1.1905	42.334
30419	4.8534e-002	-1.1077e-002	-1.19	42.527
30420	4.8038e-002	-1.1077e-002	-1.1905	42.334
30421	4.8052e-002	-1.1538e-002	-1.19	42.431
30422	2.8939e-002	-1.3846e-003	-1.1891	41.695
30423	2.8967e-002	-9.2308e-004	-1.1896	41.611
30424	2.95e-002	-9.2308e-004	-1.189	41.473
30425	2.8429e-002	-9.2308e-004	-1.1891	41.897
30426	2.8939e-002	-4.6154e-004	-1.1891	41.695
30427	2.8939e-002	-2.3077e-003	-1.1891	41.695
30428	2.8967e-002	-1.8462e-003	-1.1896	41.611
30429	2.95e-002	-1.8462e-003	-1.189	41.473
30430	2.8429e-002	-1.8462e-003	-1.1891	41.897
30431	2.8939e-002	-3.2308e-003	-1.1891	41.695
30432	2.8967e-002	-2.7692e-003	-1.1896	41.611
30433	2.95e-002	-2.7692e-003	-1.189	41.473
30434	2.8429e-002	-2.7692e-003	-1.1891	41.897
30435	2.8939e-002	-4.1538e-003	-1.1891	41.695
30436	2.8967e-002	-3.6923e-003	-1.1896	41.611
30437	2.95e-002	-3.6923e-003	-1.189	41.473
30438	2.8429e-002	-3.6923e-003	-1.1891	41.897
30439	2.8939e-002	-5.0769e-003	-1.1891	41.695
30440	2.8967e-002	-4.6154e-003	-1.1896	41.611
30441	2.95e-002	-4.6154e-003	-1.189	41.473
30442	2.8429e-002	-4.6154e-003	-1.1891	41.897
30443	2.8939e-002	-6.e-003	-1.1891	41.695
30444	2.8967e-002	-5.5385e-003	-1.1896	41.611
30445	2.95e-002	-5.5385e-003	-1.189	41.473
30446	2.8429e-002	-5.5385e-003	-1.1891	41.897
30447	2.8939e-002	-6.9231e-003	-1.1891	41.695
30448	2.8967e-002	-6.4615e-003	-1.1896	41.611
30449	2.95e-002	-6.4615e-003	-1.189	41.473
30450	2.8429e-002	-6.4615e-003	-1.1891	41.897
30451	2.8939e-002	-7.8462e-003	-1.1891	41.695
30452	2.8967e-002	-7.3846e-003	-1.1896	41.611
30453	2.95e-002	-7.3846e-003	-1.189	41.473
30454	2.8429e-002	-7.3846e-003	-1.1891	41.897
30455	2.8939e-002	-8.7692e-003	-1.1891	41.695
30456	2.8967e-002	-8.3077e-003	-1.1896	41.611
30457	2.95e-002	-8.3077e-003	-1.189	41.473
30458	2.8429e-002	-8.3077e-003	-1.1891	41.897
30459	2.8939e-002	-9.6923e-003	-1.1891	41.695
30460	2.8967e-002	-9.2308e-003	-1.1896	41.611
30461	2.95e-002	-9.2308e-003	-1.189	41.473
30462	2.8429e-002	-9.2308e-003	-1.1891	41.897
30463	2.8939e-002	-1.0615e-002	-1.1891	41.695
30464	2.8967e-002	-1.0154e-002	-1.1896	41.611
30465	2.95e-002	-1.0154e-002	-1.189	41.473
30466	2.8429e-002	-1.0154e-002	-1.1891	41.897
30467	2.8967e-002	-1.1077e-002	-1.1896	41.611
30468	2.95e-002	-1.1077e-002	-1.189	41.473
30469	2.8429e-002	-1.1077e-002	-1.1891	41.897
30470	2.8939e-002	-1.1538e-002	-1.1891	41.695
30471	2.9979e-002	-1.3846e-003	-1.19	41.165
30472	2.9486e-002	-9.2308e-004	-1.19	41.356
30473	2.9973e-002	-9.2308e-004	-1.1905	41.133
30474	3.002e-002	-9.2308e-004	-1.1894	41.195
30475	3.0396e-002	-9.2308e-004	-1.1901	40.996
30476	2.9979e-002	-4.6154e-004	-1.19	41.165
30477	2.9979e-002	-2.3077e-003	-1.19	41.165
