Node Number	X Location (m)	Y Location (m)	Z Location (m)	Temperature (°„C)
18355	3.0077e-002	-6.4615e-003	-1.1682	76.881
18356	3.0077e-002	-7.3846e-003	-1.1682	76.881
18357	3.0077e-002	-8.3077e-003	-1.1682	76.881
18358	3.0077e-002	-9.2308e-003	-1.1682	76.881
18359	3.0077e-002	-1.0154e-002	-1.1682	76.881
18360	3.0077e-002	-1.1077e-002	-1.1682	76.881
18361	3.2038e-002	-9.2308e-004	-1.168	96.08
18362	3.2038e-002	-1.8462e-003	-1.168	96.08
18363	3.2038e-002	-2.7692e-003	-1.168	96.08
18364	3.2038e-002	-3.6923e-003	-1.168	96.08
18365	3.2038e-002	-4.6154e-003	-1.168	96.08
18366	3.2038e-002	-5.5385e-003	-1.168	96.08
18367	3.2038e-002	-6.4615e-003	-1.168	96.08
18368	3.2038e-002	-7.3846e-003	-1.168	96.08
18369	3.2038e-002	-8.3077e-003	-1.168	96.08
18370	3.2038e-002	-9.2308e-003	-1.168	96.08
18371	3.2038e-002	-1.0154e-002	-1.168	96.08
18372	3.2038e-002	-1.1077e-002	-1.168	96.08
18373	3.3807e-002	-9.2308e-004	-1.1677	114.73
18374	3.3807e-002	-1.8462e-003	-1.1677	114.73
18375	3.3807e-002	-2.7692e-003	-1.1677	114.73
18376	3.3807e-002	-3.6923e-003	-1.1677	114.73
18377	3.3807e-002	-4.6154e-003	-1.1677	114.73
18378	3.3807e-002	-5.5385e-003	-1.1677	114.73
18379	3.3807e-002	-6.4615e-003	-1.1677	114.73
18380	3.3807e-002	-7.3846e-003	-1.1677	114.73
18381	3.3807e-002	-8.3077e-003	-1.1677	114.73
18382	3.3807e-002	-9.2308e-003	-1.1677	114.73
18383	3.3807e-002	-1.0154e-002	-1.1677	114.73
18384	3.3807e-002	-1.1077e-002	-1.1677	114.73
18385	3.8728e-002	-9.2308e-004	-1.1681	115.34
18386	3.8728e-002	-1.8462e-003	-1.1681	115.34
18387	3.8728e-002	-2.7692e-003	-1.1681	115.34
18388	3.8728e-002	-3.6923e-003	-1.1681	115.34
18389	3.8728e-002	-4.6154e-003	-1.1681	115.34
18390	3.8728e-002	-5.5385e-003	-1.1681	115.34
18391	3.8728e-002	-6.4615e-003	-1.1681	115.34
18392	3.8728e-002	-7.3846e-003	-1.1681	115.34
18393	3.8728e-002	-8.3077e-003	-1.1681	115.34
18394	3.8728e-002	-9.2308e-003	-1.1681	115.34
18395	3.8728e-002	-1.0154e-002	-1.1681	115.34
18396	3.8728e-002	-1.1077e-002	-1.1681	115.34
18397	4.0068e-002	-9.2308e-004	-1.1682	107.39
18398	4.0068e-002	-1.8462e-003	-1.1682	107.39
18399	4.0068e-002	-2.7692e-003	-1.1682	107.39
18400	4.0068e-002	-3.6923e-003	-1.1682	107.39
18401	4.0068e-002	-4.6154e-003	-1.1682	107.39
18402	4.0068e-002	-5.5385e-003	-1.1682	107.39
18403	4.0068e-002	-6.4615e-003	-1.1682	107.39
18404	4.0068e-002	-7.3846e-003	-1.1682	107.39
18405	4.0068e-002	-8.3077e-003	-1.1682	107.39
18406	4.0068e-002	-9.2308e-003	-1.1682	107.39
18407	4.0068e-002	-1.0154e-002	-1.1682	107.39
18408	4.0068e-002	-1.1077e-002	-1.1682	107.39
18409	4.2133e-002	-9.2308e-004	-1.1678	96.833
18410	4.2133e-002	-1.8462e-003	-1.1678	96.833
18411	4.2133e-002	-2.7692e-003	-1.1678	96.833
18412	4.2133e-002	-3.6923e-003	-1.1678	96.833
18413	4.2133e-002	-4.6154e-003	-1.1678	96.833
18414	4.2133e-002	-5.5385e-003	-1.1678	96.833
18415	4.2133e-002	-6.4615e-003	-1.1678	96.833
18416	4.2133e-002	-7.3846e-003	-1.1678	96.833
18417	4.2133e-002	-8.3077e-003	-1.1678	96.833
18418	4.2133e-002	-9.2308e-003	-1.1678	96.833
18419	4.2133e-002	-1.0154e-002	-1.1678	96.833
18420	4.2133e-002	-1.1077e-002	-1.1678	96.833
18421	4.41e-002	-9.2308e-004	-1.168	76.064
18422	4.41e-002	-1.8462e-003	-1.168	76.064
18423	4.41e-002	-2.7692e-003	-1.168	76.064
18424	4.41e-002	-3.6923e-003	-1.168	76.064
18425	4.41e-002	-4.6154e-003	-1.168	76.064
18426	4.41e-002	-5.5385e-003	-1.168	76.064
18427	4.41e-002	-6.4615e-003	-1.168	76.064
18428	4.41e-002	-7.3846e-003	-1.168	76.064
18429	4.41e-002	-8.3077e-003	-1.168	76.064
18430	4.41e-002	-9.2308e-003	-1.168	76.064
18431	4.41e-002	-1.0154e-002	-1.168	76.064
18432	4.41e-002	-1.1077e-002	-1.168	76.064
18433	4.5052e-002	-9.2308e-004	-1.168	67.781
18434	4.5052e-002	-1.8462e-003	-1.168	67.781
18435	4.5052e-002	-2.7692e-003	-1.168	67.781
18436	4.5052e-002	-3.6923e-003	-1.168	67.781
18437	4.5052e-002	-4.6154e-003	-1.168	67.781
18438	4.5052e-002	-5.5385e-003	-1.168	67.781
18439	4.5052e-002	-6.4615e-003	-1.168	67.781
18440	4.5052e-002	-7.3846e-003	-1.168	67.781
18441	4.5052e-002	-8.3077e-003	-1.168	67.781
18442	4.5052e-002	-9.2308e-003	-1.168	67.781
18443	4.5052e-002	-1.0154e-002	-1.168	67.781
18444	4.5052e-002	-1.1077e-002	-1.168	67.781
18445	2.8553e-002	-9.2308e-004	-1.1876	30.72
18446	2.8553e-002	-1.8462e-003	-1.1876	30.72
18447	2.8553e-002	-2.7692e-003	-1.1876	30.72
18448	2.8553e-002	-3.6923e-003	-1.1876	30.72
18449	2.8553e-002	-4.6154e-003	-1.1876	30.72
18450	2.8553e-002	-5.5385e-003	-1.1876	30.72
18451	2.8553e-002	-6.4615e-003	-1.1876	30.72
18452	2.8553e-002	-7.3846e-003	-1.1876	30.72
18453	2.8553e-002	-8.3077e-003	-1.1876	30.72
18454	2.8553e-002	-9.2308e-003	-1.1876	30.72
18455	2.8553e-002	-1.0154e-002	-1.1876	30.72
18456	2.8553e-002	-1.1077e-002	-1.1876	30.72
18457	2.8784e-002	-9.2308e-004	-1.1883	30.425
18458	2.8784e-002	-1.8462e-003	-1.1883	30.425
18459	2.8784e-002	-2.7692e-003	-1.1883	30.425
18460	2.8784e-002	-3.6923e-003	-1.1883	30.425
18461	2.8784e-002	-4.6154e-003	-1.1883	30.425
18462	2.8784e-002	-5.5385e-003	-1.1883	30.425
18463	2.8784e-002	-6.4615e-003	-1.1883	30.425
18464	2.8784e-002	-7.3846e-003	-1.1883	30.425
18465	2.8784e-002	-8.3077e-003	-1.1883	30.425
18466	2.8784e-002	-9.2308e-003	-1.1883	30.425
18467	2.8784e-002	-1.0154e-002	-1.1883	30.425
18468	2.8784e-002	-1.1077e-002	-1.1883	30.425
18469	2.7934e-002	-9.2308e-004	-1.1874	30.878
18470	2.7934e-002	-1.8462e-003	-1.1874	30.878
18471	2.7934e-002	-2.7692e-003	-1.1874	30.878
18472	2.7934e-002	-3.6923e-003	-1.1874	30.878
18473	2.7934e-002	-4.6154e-003	-1.1874	30.878
18474	2.7934e-002	-5.5385e-003	-1.1874	30.878
18475	2.7934e-002	-6.4615e-003	-1.1874	30.878
18476	2.7934e-002	-7.3846e-003	-1.1874	30.878
18477	2.7934e-002	-8.3077e-003	-1.1874	30.878
18478	2.7934e-002	-9.2308e-003	-1.1874	30.878
18479	2.7934e-002	-1.0154e-002	-1.1874	30.878
18480	2.7934e-002	-1.1077e-002	-1.1874	30.878
18481	4.6222e-002	-9.2308e-004	-1.1716	55.251
18482	4.6222e-002	-1.8462e-003	-1.1716	55.251
18483	4.6222e-002	-2.7692e-003	-1.1716	55.251
18484	4.6222e-002	-3.6923e-003	-1.1716	55.251
18485	4.6222e-002	-4.6154e-003	-1.1716	55.251
18486	4.6222e-002	-5.5385e-003	-1.1716	55.251
18487	4.6222e-002	-6.4615e-003	-1.1716	55.251
18488	4.6222e-002	-7.3846e-003	-1.1716	55.251
18489	4.6222e-002	-8.3077e-003	-1.1716	55.251
18490	4.6222e-002	-9.2308e-003	-1.1716	55.251
18491	4.6222e-002	-1.0154e-002	-1.1716	55.251
18492	4.6222e-002	-1.1077e-002	-1.1716	55.251
18493	4.7063e-002	-9.2308e-004	-1.1679	52.948
18494	4.7063e-002	-1.8462e-003	-1.1679	52.948
18495	4.7063e-002	-2.7692e-003	-1.1679	52.948
18496	4.7063e-002	-3.6923e-003	-1.1679	52.948
18497	4.7063e-002	-4.6154e-003	-1.1679	52.948
18498	4.7063e-002	-5.5385e-003	-1.1679	52.948
18499	4.7063e-002	-6.4615e-003	-1.1679	52.948
18500	4.7063e-002	-7.3846e-003	-1.1679	52.948
18501	4.7063e-002	-8.3077e-003	-1.1679	52.948
18502	4.7063e-002	-9.2308e-003	-1.1679	52.948
18503	4.7063e-002	-1.0154e-002	-1.1679	52.948
18504	4.7063e-002	-1.1077e-002	-1.1679	52.948
18505	4.7112e-002	-9.2308e-004	-1.1689	53.682
18506	4.7112e-002	-1.8462e-003	-1.1689	53.682
18507	4.7112e-002	-2.7692e-003	-1.1689	53.682
18508	4.7112e-002	-3.6923e-003	-1.1689	53.682
18509	4.7112e-002	-4.6154e-003	-1.1689	53.682
18510	4.7112e-002	-5.5385e-003	-1.1689	53.682
18511	4.7112e-002	-6.4615e-003	-1.1689	53.682
18512	4.7112e-002	-7.3846e-003	-1.1689	53.682
18513	4.7112e-002	-8.3077e-003	-1.1689	53.682
18514	4.7112e-002	-9.2308e-003	-1.1689	53.682
18515	4.7112e-002	-1.0154e-002	-1.1689	53.682
18516	4.7112e-002	-1.1077e-002	-1.1689	53.682
18517	4.721e-002	-9.2308e-004	-1.1699	53.407
18518	4.721e-002	-1.8462e-003	-1.1699	53.407
18519	4.721e-002	-2.7692e-003	-1.1699	53.407
18520	4.721e-002	-3.6923e-003	-1.1699	53.407
18521	4.721e-002	-4.6154e-003	-1.1699	53.407
18522	4.721e-002	-5.5385e-003	-1.1699	53.407
18523	4.721e-002	-6.4615e-003	-1.1699	53.407
18524	4.721e-002	-7.3846e-003	-1.1699	53.407
18525	4.721e-002	-8.3077e-003	-1.1699	53.407
18526	4.721e-002	-9.2308e-003	-1.1699	53.407
18527	4.721e-002	-1.0154e-002	-1.1699	53.407
18528	4.721e-002	-1.1077e-002	-1.1699	53.407
18529	4.6452e-002	-9.2308e-004	-1.1864	31.465
18530	4.6452e-002	-1.8462e-003	-1.1864	31.465
18531	4.6452e-002	-2.7692e-003	-1.1864	31.465
18532	4.6452e-002	-3.6923e-003	-1.1864	31.465
18533	4.6452e-002	-4.6154e-003	-1.1864	31.465
18534	4.6452e-002	-5.5385e-003	-1.1864	31.465
18535	4.6452e-002	-6.4615e-003	-1.1864	31.465
18536	4.6452e-002	-7.3846e-003	-1.1864	31.465
18537	4.6452e-002	-8.3077e-003	-1.1864	31.465
18538	4.6452e-002	-9.2308e-003	-1.1864	31.465
18539	4.6452e-002	-1.0154e-002	-1.1864	31.465
18540	4.6452e-002	-1.1077e-002	-1.1864	31.465
18541	4.6923e-002	-9.2308e-004	-1.1873	31.085
18542	4.6923e-002	-1.8462e-003	-1.1873	31.085
18543	4.6923e-002	-2.7692e-003	-1.1873	31.085
18544	4.6923e-002	-3.6923e-003	-1.1873	31.085
18545	4.6923e-002	-4.6154e-003	-1.1873	31.085
18546	4.6923e-002	-5.5385e-003	-1.1873	31.085
18547	4.6923e-002	-6.4615e-003	-1.1873	31.085
18548	4.6923e-002	-7.3846e-003	-1.1873	31.085
18549	4.6923e-002	-8.3077e-003	-1.1873	31.085
18550	4.6923e-002	-9.2308e-003	-1.1873	31.085
18551	4.6923e-002	-1.0154e-002	-1.1873	31.085
18552	4.6923e-002	-1.1077e-002	-1.1873	31.085
18553	4.713e-002	-9.2308e-004	-1.1892	30.42
18554	4.713e-002	-1.8462e-003	-1.1892	30.42
18555	4.713e-002	-2.7692e-003	-1.1892	30.42
18556	4.713e-002	-3.6923e-003	-1.1892	30.42
18557	4.713e-002	-4.6154e-003	-1.1892	30.42
18558	4.713e-002	-5.5385e-003	-1.1892	30.42
18559	4.713e-002	-6.4615e-003	-1.1892	30.42
18560	4.713e-002	-7.3846e-003	-1.1892	30.42
18561	4.713e-002	-8.3077e-003	-1.1892	30.42
18562	4.713e-002	-9.2308e-003	-1.1892	30.42
18563	4.713e-002	-1.0154e-002	-1.1892	30.42
18564	4.713e-002	-1.1077e-002	-1.1892	30.42
18565	4.5947e-002	-9.2308e-004	-1.1878	30.732
18566	4.5947e-002	-1.8462e-003	-1.1878	30.732
18567	4.5947e-002	-2.7692e-003	-1.1878	30.732
18568	4.5947e-002	-3.6923e-003	-1.1878	30.732
18569	4.5947e-002	-4.6154e-003	-1.1878	30.732
18570	4.5947e-002	-5.5385e-003	-1.1878	30.732
18571	4.5947e-002	-6.4615e-003	-1.1878	30.732
18572	4.5947e-002	-7.3846e-003	-1.1878	30.732
18573	4.5947e-002	-8.3077e-003	-1.1878	30.732
18574	4.5947e-002	-9.2308e-003	-1.1878	30.732
18575	4.5947e-002	-1.0154e-002	-1.1878	30.732
